label,quantity,description,image_url
Ivermectin,0,"A medication primarily used to treat parasitic infections in humans and animals by disrupting the nervous systems of certain parasites and causing their paralysis and death.","https://images.axios.com/2BZ0CndulaK2y9itsBZ0wEHpMd4=/833x0:4833x4000/1920x1920/2022/03/31/1648731574548.jpg"
Zoloft,0,"A prescription medication that belongs to the class of antidepressants known as selective serotonin reuptake inhibitors (SSRIs), used to treat depression, anxiety disorders, and other mental health conditions by increasing serotonin levels in the brain.","https://a.scpr.org/38527_6249e3853afd6f44b8862752ab6a2e73_original.jpg"
Humalog,0,"A brand of insulin, used for the treatment of diabetes, to help control blood sugar levels by lowering high blood sugar when taken before or after meals.","https://www.humalog.com/assets/images/mixes_vials.jpg"
Metformin,0,"A prescription medication commonly used to treat type 2 diabetes by helping to lower blood sugar levels and improve the body''s response to insulin.","https://www.empowerpharmacy.com/sites/default/files/2020-07/Metformin-Hydrochloride-1000mg-Tablets.jpg"
Loperamide,0,"An over-the-counter medication used to relieve diarrhea by slowing down intestinal contractions and reducing bowel movements.","https://beyondrx.ca/cdn/shop/products/Teva-Loperimide2mg_100tablets_-LabelEnglish-min-min_4bf1cab0-8bb7-4c53-80cb-649b5547a94c.jpg?v=1640560804"
Triamcinolone,0,"A prescription corticosteroid medication used to treat various inflammatory conditions, such as allergies, skin disorders, and arthritis, by reducing inflammation and suppressing the immune response in the body.","https://www.mcguffmedical.com/content/images/thumbs/0015320_triamcinolone-acetonide-injectable-suspension-40mgml-mdv-10ml-vial.jpeg"
Cialis,0,"A prescription medication used to treat erectile dysfunction (ED) and symptoms of benign prostatic hyperplasia (BPH) by increasing blood flow to the penis and relaxing the muscles in the prostate and bladder.","https://www.empowerpharmacy.com/sites/default/files/2020-10/Cialis-%28Tadalafil%29-5mg-Tablets.jpg"
Entereg,0,"A prescription medication used to accelerate the recovery of gastrointestinal function after abdominal surgery by reducing the risk of postoperative ileus, a condition where normal bowel movements are delayed.","https://4.imimg.com/data4/DP/JA/MY-1567995/entereg-capsules-500x500.jpg"
Omeprazole,0,"A medication available over-the-counter and by prescription that reduces stomach acid production and is used to treat conditions such as heartburn, gastroesophageal reflux disease (GERD), and stomach ulcers.","https://i.ebayimg.com/images/g/TGcAAOSwt3xkrZvg/s-l1200.webp"
Allopurinol,0,"A prescription medication used to lower high levels of uric acid in the body and prevent or manage conditions like gout and kidney stones that are associated with excess uric acid.","https://wellonapharma.com/admincms/product_img/product_resize_img/allopurinol-tablets_1618822633.jpg"
Minoxidil,0,"An over-the-counter medication used topically to promote hair growth and treat male and female pattern baldness by widening hair follicles and extending the hair growth cycle.","https://www.biovea.com/ca/en/images/products/xlrg/4040_z.jpg"
Zyrtec,0,"An over-the-counter antihistamine medication used to relieve allergy symptoms such as sneezing, runny nose, itching, and watery eyes by blocking the effects of histamine in the body.","https://www.biovea.com/ca/en/images/products/xlrg/2760_z.jpg"
Acyclovir,0,"A prescription medication used to treat viral infections like herpes by inhibiting the growth and spread of the herpes simplex virus.","https://eugiaus.com/wp-content/uploads/Acyclovir-Sodium-500mg-10ml-web.jpg"
Lisinopril,0,"A prescription medication used to treat high blood pressure (hypertension) and heart failure by relaxing blood vessels and improving blood flow, reducing the workload on the heart.","https://www.camberpharma.com/wp-content/uploads/2022/09/LisinoprilBottles_30mg_500.jpg"
Levothyroxine,0,"A prescription medication used to treat hypothyroidism (an underactive thyroid) by providing the body with synthetic thyroid hormone to regulate metabolism and other essential functions.","https://www.empowerpharmacy.com/sites/default/files/2020-10/Levothyroxine-Sodium-125mcg-Tablets_0.jpg"
Budesonide,0,"A corticosteroid medication available in various forms, such as inhalers and nasal sprays, used to treat inflammatory conditions like asthma, allergies, and inflammatory bowel disease by reducing inflammation and suppressing the immune response in the affected areas.","https://imgcdn.mckesson.com/CumulusWeb/Images/Original_Image/1191519_ppkgleft.jpg"
Oxybutynin,0,"A medication used to treat overactive bladder and urinary incontinence by relaxing bladder muscles and reducing the frequent urge to urinate.","https://bizimages.withfloats.com/actual/63bd414001f22f00012f89c7.jpg"
Ambien,0,"A prescription medication used to treat insomnia by affecting certain chemicals in the brain to promote sleep and reduce difficulties in falling asleep or staying asleep.","https://www.empr.com/wp-content/uploads/sites/7/2018/12/5256262e0d74407082e015e477031e82-ambien_396638.jpg"
Methyltestosterone,0,"A synthetic androgen hormone used as a prescription medication to treat conditions associated with testosterone deficiency in males, such as delayed puberty or hormonal imbalances.","https://en.aburaihan.com/wp-content/uploads/2022/01/Methyltestosterone-En.jpg"
Sumatriptan,0,"A prescription medication used to treat migraines and cluster headaches by narrowing blood vessels in the brain and reducing pain and other symptoms associated with these types of headaches.","https://imgcdn.mckesson.com/CumulusWeb/Images/Original_Image/949873_front.jpg"
Meloxicam,0,"A prescription nonsteroidal anti-inflammatory drug (NSAID) used to relieve pain and reduce inflammation in conditions like arthritis by inhibiting the production of certain chemicals in the body that cause pain and swelling.","https://images.ctfassets.net/59984t4qg9dz/ppm_wysiwyg_fid6112_asset/45f409f45c12b0398b3472d61cb000fa/04317a0e-0514-48f5-be4b-55cde852f6ee.HR_.jpg"
Alendronate,0,"A prescription medication used to treat osteoporosis and prevent fractures by slowing down bone loss and increasing bone density in postmenopausal women and some men.","https://nursing.unboundmedicine.com/nursingcentral/repview?type=277-195&name=alendronate_sodium_195-9166"
Oxycodone,0,"A prescription opioid medication used to manage moderate to severe pain by changing how the brain and nervous system respond to pain.","https://tajlifesciences.com/wp-content/uploads/Oxycodone_Hydrochloride_7.5mg__Acetaminophen_375mg_Tablet_Dealers-scaled.jpg"
Clindamycin,0,"A prescription antibiotic medication used to treat bacterial infections by inhibiting the growth of bacteria and reducing their ability to spread and cause infection.","https://5.imimg.com/data5/SELLER/Default/2022/12/MU/PY/PA/88793954/clindamycin-capsule-300-mg.jpeg"
Humira,0,"A prescription medication used to treat various autoimmune diseases, including rheumatoid arthritis, Crohn''s disease, and psoriasis, by suppressing the immune system''s inflammatory response.","https://d3hjf51r9j54j7.cloudfront.net/wp-content/uploads/sites/5/2016/05/Right_Humira-pen_DH-285400.jpg"
Enbrel,0,"A prescription medication used to treat autoimmune diseases like rheumatoid arthritis and psoriasis by inhibiting a specific protein in the body that contributes to inflammation.","https://5.imimg.com/data5/SELLER/Default/2021/8/SE/VU/BH/47197159/enbrel-50-mg-fertigspritze-injektionsloesung-d04492419-p14.jpg"
Clozapine,0,"A prescription antipsychotic medication used to treat schizophrenia and reduce the risk of suicidal behavior in certain individuals with schizophrenia or schizoaffective disorder by affecting neurotransmitters in the brain.","https://medicalbrandnames.com/wp-content/uploads/2018/11/57664-211-88_Clozapine_Tabs_200mg_100ct-e1593860737607.jpg"
Keppra,0,"A prescription medication used to treat epilepsy by stabilizing electrical activity in the brain and reducing the frequency and severity of seizures.","https://mimsshst.blob.core.windows.net/drug-resources/MY/packshot/Keppra6001PPS0.JPG"
Plavix,0,"A prescription antiplatelet medication used to reduce the risk of blood clots and stroke in individuals with cardiovascular conditions by inhibiting the aggregation of platelets in the blood.","https://bostonglobe-prod.cdn.arcpublishing.com/resizer/1B7XqYkRrEV_d2QHp9lR-80u55E=/960x0/arc-anglerfish-arc2-prod-bostonglobe.s3.amazonaws.com/public/4VG2CYSSZ4I6DOVARFL2OQYBLA.jpg"
Tamiflu,0,"A prescription antiviral medication used to treat influenza (the flu) by inhibiting the growth and spread of the influenza virus in the body, reducing the severity and duration of flu symptoms when taken early in the illness.","https://ssl.adam.com/graphics/thomson/t104170f.jpg"
Nitrofurantoin,0,"A prescription antibiotic medication primarily used to treat urinary tract infections (UTIs) by inhibiting the growth of bacteria in the urinary system.","https://iasispharma.com/wp-content/uploads/2023/06/NITROFURANTOIN-IASIS-150-ml_web_site_2023-2-copy.png"
Phentermine,0,"A prescription medication used as an appetite suppressant to assist with weight loss in combination with diet and exercise by affecting the central nervous system to reduce hunger and increase feelings of fullness.","https://www.empowerpharmacy.com/sites/default/files/2020-09/Phentermine-37.5mg-Tablets.jpg"
